Numero,Descricao,Umidade (%),Energia (Kcal),Proteina (g),Carboidrato (g),Categoria
380,Pizza calabresa assada,35.0,300,12.0,30.0,Miscelaneas
381,Sopa de legumes pronta,90.0,40,1.0,7.0,Miscelaneas
382,Sopa de carne pronta,90.0,40,2.0,6.0,Miscelaneas
383,Catchup,70.0,110,1.0,25.0,Miscelaneas
384,Maionese tradicional,30.0,700,1.0,4.0,Miscelaneas
385,Maionese light,50.0,500,1.0,4.0,Miscelaneas
386,Mostarda,70.0,90,5.0,5.0,Miscelaneas
387,Cerveja,93.0,40,0.0,4.0,Miscelaneas
388,Vinho tinto seco,85.0,80,0.0,3.0,Miscelaneas
389,Vinho branco seco,85.0,80,0.0,3.0,Miscelaneas
390,Refrigerante cola,90.0,40,0.0,10.0,Miscelaneas
391,Refrigerante guarana,90.0,40,0.0,10.0,Miscelaneas
392,Refrigerante limao,90.0,40,0.0,10.0,Miscelaneas
393,Refrigerante laranja,90.0,40,0.0,10.0,Miscelaneas
394,Agua de coco,95.0,20,0.0,5.0,Miscelaneas
395,Suco de fruta concentrado sem acucar,75.0,90,1.0,20.0,Miscelaneas
396,Suco de fruta pronto sem acucar,90.0,40,0.0,10.0,Miscelaneas
397,Suco de fruta pronto com acucar,85.0,60,0.0,15.0,Miscelaneas
398,Cafe coado sem acucar,99.0,0,0.0,0.0,Miscelaneas
399,Cafe expresso sem acucar,99.0,0,0.0,0.0,Miscelaneas
400,Cha de ervas sem acucar,99.0,0,0.0,0.0,Miscelaneas
401,Achocolatado pronto,88.0,60,2.0,9.0,Miscelaneas
402,Leite de vaca integral com chocolate,88.0,60,3.0,8.0,Miscelaneas
403,Leite de vaca integral com morango,88.0,60,3.0,8.0,Miscelaneas
404,Leite de vaca integral com baunilha,88.0,60,3.0,8.0,Miscelaneas
405,Feijao carioca cozido,72.5,100,6.0,18.0,Leguminosas e derivados
406,Feijao preto cozido,72.0,100,7.0,17.0,Leguminosas e derivados
407,Feijao branco cozido,72.0,100,7.0,17.0,Leguminosas e derivados
408,Feijao fradinho cozido,72.0,100,7.0,17.0,Leguminosas e derivados
409,Feijao de corda cozido,72.0,100,7.0,17.0,Leguminosas e derivados
410,Grao de bico cozido,68.0,130,7.0,20.0,Leguminosas e derivados
411,Lentilha cozida,70.0,110,8.0,19.0,Leguminosas e derivados
412,Ervilha em conserva,70.0,100,6.0,17.0,Leguminosas e derivados
413,Fava cozida,70.0,110,8.0,19.0,Leguminosas e derivados
414,Soja cozida,60.0,170,17.0,10.0,Leguminosas e derivados
415,Tofu (queijo de soja),80.0,80,8.0,2.0,Leguminosas e derivados
416,Sopa de feijao pronta,90.0,40,2.0,6.0,Leguminosas e derivados
417,Sopa de lentilha pronta,90.0,40,2.0,6.0,Leguminosas e derivados
418,Sopa de ervilha pronta,90.0,40,2.0,6.0,Leguminosas e derivados
419,Bebida de soja pronta sabor natural,90.0,40,3.0,5.0,Leguminosas e derivados
420,Bebida de soja pronta sabor chocolate,90.0,60,3.0,9.0,Leguminosas e derivados
421,Bebida de soja pronta sabor morango,90.0,60,3.0,9.0,Leguminosas e derivados
422,Bebida de soja pronta sabor baunilha,90.0,60,3.0,9.0,Leguminosas e derivados
423,Bebida de arroz pronta sabor natural,90.0,40,1.0,7.0,Leguminosas e derivados
424,Bebida de arroz pronta sabor chocolate,90.0,60,1.0,11.0,Leguminosas e derivados
425,Bebida de arroz pronta sabor morango,90.0,60,1.0,11.0,Leguminosas e derivados
426,Bebida de arroz pronta sabor baunilha,90.0,60,1.0,11.0,Leguminosas e derivados
427,Feijao carioca com arroz,69.0,130,8.0,22.0,Leguminosas e derivados
428,Feijao preto com arroz,68.0,130,8.0,22.0,Leguminosas e derivados
429,Feijao branco com arroz,68.0,130,8.0,22.0,Leguminosas e derivados
430,Feijao fradinho com arroz,68.0,130,8.0,22.0,Leguminosas e derivados
431,Feijao de corda com arroz,68.0,130,8.0,22.0,Leguminosas e derivados
432,Grao de bico com arroz,65.0,150,9.0,23.0,Leguminosas e derivados
